qty_dot_url,directory_length,time_domain_activation,qty_slash_directory,length_url,domain_length,asn_ip,qty_slash_url,qty_dot_domain,qty_vowels_domain,file_length
1,11,4251,2,24,13,-1,2,1,3,5
1,40,-1,2,47,7,-1,2,1,3,32
3,11,-1,1,62,51,-1,1,2,16,10
1,-1,2093,-1,9,9,20013,0,1,2,-1
2,3,-1,1,32,29,-1,1,2,9,2
5,24,7739,3,80,19,7226,3,1,7,11
1,53,-1,3,70,17,-1,3,1,5,32
6,35,-1,3,74,39,-1,3,6,10,19
1,-1,-1,-1,29,29,-1,0,1,14,-1
2,7,-1,1,29,22,237,1,2,8,6
1,16,1955,3,34,18,51167,3,1,6,6
2,26,-1,2,81,38,-1,2,1,16,12
2,-1,-1,-1,23,23,-1,0,2,7,-1
2,-1,-1,-1,23,23,23033,0,2,5,-1
1,6,185,1,13,7,-1,1,1,2,5
1,10,1615,2,27,17,-1,2,1,5,3
2,10,674,2,458,18,8075,2,2,5,5
2,-1,-1,-1,33,33,47583,0,2,9,-1
3,11,-1,1,56,45,-1,1,2,12,10
2,33,-1,1,59,26,-1,1,2,9,32
2,12,2203,2,24,12,35415,2,1,4,7
2,12,970,1,31,17,-1,1,1,7,11
3,-1,-1,-1,33,33,-1,0,3,9,-1
2,-1,-1,-1,16,16,-1,0,2,5,-1
4,48,-1,3,66,18,-1,3,2,6,23
3,37,-1,1,59,22,-1,1,2,8,36
1,-1,268,-1,27,27,7018,0,1,9,-1
4,-1,-1,-1,47,47,15169,0,4,10,-1
6,35,-1,2,86,51,36351,2,5,14,11
3,-1,-1,-1,35,35,23033,0,3,11,-1
5,10,-1,1,366,48,-1,1,4,14,9
3,18,-1,3,34,16,201706,3,2,2,8
2,10,441,1,35,25,-1,1,2,8,9
2,-1,-1,-1,20,20,-1,0,2,5,-1
2,37,843,5,52,15,46606,5,1,6,11
3,47,-1,2,92,45,-1,2,3,9,32
1,16,-1,3,31,15,-1,3,1,6,6
5,41,-1,3,96,26,-1,3,2,11,19
4,47,-1,4,67,20,-1,4,1,10,14
2,-1,-1,-1,39,39,27647,0,2,13,-1
3,13,-1,1,80,25,60781,1,2,2,12
1,15,908,2,39,24,26496,2,1,8,7
1,-1,64,-1,29,29,45839,0,1,8,-1
3,28,-1,2,52,24,-1,2,2,6,24
3,26,-1,3,42,16,-1,3,2,2,12
3,13,-1,1,87,32,-1,1,2,8,12
7,44,-1,2,340,13,46606,3,3,0,10
2,49,179,3,232,26,-1,3,1,9,9
1,-1,-1,-1,23,23,-1,0,1,8,-1
2,-1,-1,-1,23,23,-1,0,2,5,-1
1,-1,312,-1,15,15,-1,0,1,6,-1
3,5,-1,1,27,22,-1,1,3,7,4
1,64,1619,6,81,17,-1,6,1,6,7
2,27,1190,2,51,12,40034,2,1,4,14
1,25,4948,3,35,10,7506,3,1,3,3
2,20,177,1,29,9,22612,1,1,3,19
1,10,-1,2,19,9,13335,2,1,0,5
2,-1,-1,-1,31,31,-1,0,2,7,-1
2,58,2023,4,141,12,-1,4,1,4,10
3,13,-1,1,29,16,35278,1,2,1,12
3,14,318,2,32,18,-1,2,2,5,10
1,6,-1,1,18,12,-1,1,1,3,5
2,-1,-1,-1,28,28,-1,0,2,9,-1
1,13,1241,2,34,21,35017,2,1,9,6
2,30,188,2,52,22,-1,2,2,8,24
2,16,-1,2,38,22,-1,2,2,7,8
2,215,-1,2,236,21,13335,2,2,3,208
3,16,-1,2,31,15,36352,2,3,0,9
6,39,-1,3,78,39,-1,3,6,10,23
4,68,-1,4,86,13,-1,4,3,0,17
1,13,-1,1,48,35,-1,1,1,10,12
3,24,-1,3,44,20,-1,3,2,4,9
2,26,335,2,79,22,-1,2,1,8,15
2,7,487,1,20,13,-1,1,2,4,6
3,53,-1,8,70,17,394695,8,1,8,8
1,94,6709,6,118,24,25847,6,1,10,32
2,-1,-1,-1,22,22,16509,0,2,5,-1
1,22,358,1,38,16,-1,1,1,6,21
1,30,-1,4,49,19,-1,4,1,6,7
1,13,305,1,30,17,-1,1,1,6,12
3,-1,-1,-1,13,13,4766,0,3,0,-1
1,24,1931,3,44,20,9891,3,1,8,6
16,50,-1,5,202,152,-1,5,14,33,32
